"View","Name of Firm","Trade Name","unknown","unknown","Address, line 1","Address, line 2","City","State","Zip","Capabilities Narrative"
"16","Xenics USA, Inc.","","Herve Copin","","600 Cummings Ctr Ste 166Y","","Beverly","MA","01915-6194","Xenics designs and markets infrared imagers, cores and cameras of best-in-class image quality to support innovative R&D, industrial automation, machine vision, process control and high-end security applications. Drawing on advanced production facilities and in-house know-how of system and software development, we deliver state-of-the-art imaging solutions and optimized custom design offering a complete portfolio of infrared cameras and detectors for the SWIR, MWIR and LWIR ranges. For more information visit us at http://www.xenics.com/en."
"17","Roberts Brothers Lumber Co Inc","","Leonard H Roberts","","1450 Spruce Corner Rd","","Ashfield","MA","01330-9747",""
"18","Language Connections Inc","","Leo Galperin","","2001 Beacon St Ste 105","","Brighton","MA","02135-7799",""
"19","Logistico LLC ","","Gabriel Gomes","","661 S MAIN ST STE 1 ","","WEBSTER","MA","01570-2280","Logistics, Distribution, Inventory Managment & Procurement"
"20","OpenNebula Systems USA, LLC","","Maria Carmen Pineda Diaz","","1500 District Ave","","Burlington","MA","01803-5069",""
"21","Statistical Innovations Inc","","Sabrina Solari","","375 CONCORD AVE STE 007","","BELMONT","MA","02478-3045",""
"22","Mass Design Group, Ltd ","","Matt Smith","","334 Boylston St Ste 400 ","","Boston","MA","02116-3495",""
"23","BARDWELL ELECTRONICS","","THOMAS   C. BARDWELL JR","","17 LOCUST LN","","VINEYARD HAVEN","MA","02568-5454",""
"24","STACEY DEPASQUALE ENGINEERING, INC. ","","STACEY A. DEPASQUALE","Principal","354 Merrimack St Ste 200 ","","Lawrence","MA","01843-1755","Civil and Environmental Engineering and Consulting including hydraulic and hydrologic analyses, infrastructure design, site development, wastewater and stormwater system design, and technical specification development."
"25","Access Fixtures LLC","","Steven M Rothschild","","40 Jackson St","","WORCESTER","MA","01608-2210","Access Fixtures is factory direct commercial, industrial, hospitality and sports lighting with leading LED, HID and T5HO technology. Products include area lights, bollard lights, wall packs, parking lot lighting, decorative street lighting, high bay fixtures, garage lighting, vapor tight lights, troffers, exit & emergency, and lighting for your venue."
"26","Charter Environmental, Inc.","","Timothy J Cady","President","500 HARRISON AVE STE 4R","","BOSTON","MA","02118-2883","Environmental & Civil Construction; Remediation; Excavation; Site Work; Utilities; Groundwater Treatment; Demolition; Asbestos HazMat Abatement, Transport & Disposal; Dredging & Marine Construction; Range Construction; Commercial, Industrial Buildings."
"27","MATTHEW A FRAZIER ENTERPRISES ","","Matthew  Frazier","","10 KEAR CIR ","","WELLFLEET","MA","02667-8144",""
"28","New England Maintenance Services LLC","","Abdulmajid Boukraya","","133 Clarendon St","","Boston","MA","02116-5132","New England Maintenance Services LLC provides full facilities maintenance services. Our services include but are not limited to window, door, and flooring installation, painting, plumbing, electrical, and drywall patching. We are reasonably priced with a passion for making our customers happy."
"29","C S I Keyboards Inc.,","","KYLE CASTNER","","56 Pulaski St Ste 1","","Peabody","MA","01960-1830",""
"30","Wuxi Nextcode Genomics Usa, Inc.","WuXi NextCODE Genomics USA","Jeffrey Gulcher","","55 Cambridge Parkway 8th Floor","","Cambridge","MA","02142-1234",""
"31","RAID, INC.","","Jad Ramey","Director of Government Sales","200 BRICKSTONE SQUARE STE 302","","ANDOVER","MA","01810-1429","RAID, Inc., is a leading provider of Direct Connect and SAN (Storage Area Network) systems nationwide and in Canada.Our goal is to provide customers with exceptional storage solutions and a level of service that transcends today's market.  "
"32","Falmouth Scientific, Inc.","","JOHN  BAKER","","1400 Rte 28A","","Cataumet","MA","02534-0000","FSI designs and manufactures precision instrumentation for marine applications: - Sub-Bottom, Sidescan, Combined, and CHIRP Sonar Imaging Systems - ACM-PLUS Family of Current, Wave, and Tide Meters - Pinger/Locators and Recovery Systems - Acoustic Transducers and Arrays"
"33","UNITED ELECTRIC CONTROLS COMPANY","","Kirk Dragsbaek","","180 DEXTER AVE","","WATERTOWN","MA","02472-4202",""
"34","MTD MICRO MOLDING, INC.","","Gary Hulecki","","15 Trolley Crossing Rd","","Charlton","MA","01507-1351",""
"35","Plastic Concepts, Inc. ","","MICHAEL P THOMPSON","Office Manager","2 Sterling Road Unit # 2 ","","Billerica","MA","01862-2595","Plastic Fabrication"
"36","TELCO SYSTEMS, INC.","","Richard Conton","","15 BERKSHIRE RD","","MANSFIELD","MA","02048-1135","Wherever you find advanced, carrier-grade telecom networks, you find Telco Systems delivering innovative solutions to today’s and tomorrow’s networking challenges. Established in 1972, Telco Systems brings over 40 years of experience to the design and development of advanced, high-performance telecom network communications solutions."
"37","ELECTRONIX REDUX CORP.","","Michael G Sawyer","","282 DEDHAM ST STE 5","","NORFOLK","MA","02056-1580","eWaste management services including batteries and flourescent lights. Data destruction services. Electronics remarketing services."
"38","Implanet America, Inc.","","Shane Doyle","","60 State St Ste 700","","Boston","MA","02109-1894",""
"39","IDSS Holdings, Inc.","","Paul Medwar","","85 Swanson Rd Ste 110","","Boxboro","MA","01719-1300",""
"40","TRANSCON TECHNOLOGIES INC. DBA ECI OR ELECTRONIC COILS","ECI & ELECTRONIC COILS","Alan F Bercovici","","53 MAINLINE DR","","WESTFIELD","MA","01085-3313",""
"41","DATAROBOT, INC.","","Eric Forseter","","1 International Pl FL 5","","Boston","MA","02110-0000","DataRobot powers the Artificial Intelligence-driven enterprise, allowing agencies to make dramatically smarter and faster decisions with automated machine learning. DataRobot allows for accessible, interpretable, and highly accurate predictive analytics for achieving mission success. By optimizing and accelerating the data science process, the DataRobot automated machine learning platform enables non-data scientists to quickly research, collaborate, test, and deploy predictive algorithms. With DataRobot, creating powerful predictive models is as easy as ingesting data from any source, selecting what you want to predict, building hundreds of models with one click, exploring the top models and generating insights with the best predictive model."
"42","Nauset Marine Inc ","Nauset Distributing Co ","Todd Walker","","45 Cranberry Hwy ","","Orleans","MA","02653-2410",""
"43","Gervais, Inc. ","Gervais Ford ","Emily Babin","","5 Littleton Rd ","","Ayer","MA","01432-1750",""
"44","3Dconnexion Inc","","Ken   Denton","","330 Bear Hill Rd Ste 301","","Waltham","MA","02451-1027",""
"45","Southbridge Sheet Metal Works, Inc.","","Edward Colognesi","","441 Main St","","Sturbridge","MA","01566-1055",""
"46","G A WILLIAMS & SONS, INC.","","BRIAN WILLIAMS","","39 ADAMS ST","","BRAINTREE","MA","02184-1902",""
"47","RESEARCH PRECISION INSTRUMENTS COMPANY, INC","","Charles O Felts","","2 SUMMER ST STE 10","","NATICK","MA","01760-4529",""
"48","CGLM, LLC","O2X","Gabriel Gomez","","1147 Hancock St Ste 223","","Quincy","MA","02169-4360","CGLM LLC is a comprehensive human performance training and education located in Quincy, MA. We specialize in performance training and education to first responders, military personnel, elite organizations, and other tactical athletes. Our team is comprised of U.S./U.K. Special Operations Veterans, Olympic professionals, and All American collegiate athletes. With over 45 human performance experts, we provide the latest cutting-edge science and research in respective primary fields of mental and physical wellness. To view more on our Federal Contracting, please visit Fedlinks CGLM LLC."
"49","Bowline Construction, LLC","","Catherine OCallaghan","","84 Weymouth St","","Rockland","MA","02370-1157","Bowline engineers, manufactures, installs and maintains uniquely designed access systems for all types and sized construction projects. Bowline, an expert in all facets of project management and execution, is widely known for its reliability, safety, innovation and customization."
"50","One Source Construction, LLC","","Aline Uminsky","","5 Wayside Inn Rd","","Framingham","MA","01701-5028","General Contractor"
"51","SEA SCIENCES INC","","Christian CASAGRANDE","","40 MASSACHUSETTS AVE","","ARLINGTON","MA","02474-8621","Design and manufacture of Ocean and freshwater research instrumentation"
"52","One Fair Oaks Property LLC","","Pamela Brown","","200 State St 5th Fl","","Boston","MA","02109-2628",""
"53","MCGILL HOSE & COUPLING, INC.","","AINSLEY  MCGILL-GABOURY","","41 BENTON DR","","EAST LONGMEADOW","MA","01028-3153","Provide industrial supplies and safe fluid handling."
"54","Ribas Associates and Publications, Inc. ","","William B Ribas","","596 Pleasant Street ","","Norwood","MA","02062-4697",""
"55","HOPE GARDENS","","Christopher Brady","","847 PARK ST","","ATTLEBORO","MA","02703-5199",""
"56","Northern Business Machines, Inc. ","","JOHN  KREIDER","","24 Terry Ave ","","Burlington","MA","01803-2516",""
"57","Green Environmental, Inc.","","KATHRYN  J KELLY","","296 Weymouth St Unit C","","Rockland","MA","02370-1139","Environmental consulting and civil engineering services."
"58","CREFIII Waramaug Amesbury Lessee LLC","Fairfield Inn by Marriott Amesbury","Catherine Carlson","","35 Clarks Rd","","Amesbury","MA","01913-4255",""
"59","Satya Enterprises, LLC","Residence Inn By Marriott","Vickie Maryou","","500 Memorial Dr","","Chicopee","MA","01020-5071",""
"60","Tyler Equipment Corporation","","Lawrence Drapeau","","251 Shaker Rd","","East Longmeadow","MA","01028-7004",""
"61","Nitco, LLC","","Jennifer Keyes","","6 Jonspin Rd","","Wilmington","MA","01887-4408",""
"62","UNITED INNOVATIONS, INC.","Specialty Loose Leaf","Mike Zanga","Vice President","120 Whiting Farms Rd","","Holyoke","MA","01040-2832","Manufacturer of binders, photo albums, post binders, metals, stamping, screening"
"63","OPERATION INDEPENDENCE LLC","","Richard  Castino","","325 SCHOOL ST","","WATERTOWN","MA","02472-1412","Construction/remodeling houses for accessibility. Installation of wheel chair lifts or other disability equipment."
"64","MICROWAY, INC.","","Eliot Eshelman","Chairman","12 RICHARDS RD","","PLYMOUTH","MA","02360-4846","Microway provides high-performance computing and GPU-accelerated computing systems for scientific research, engineering, and AI. Microway systems are available as clusters, servers, and standalone workstations. High-performance fabrics and storage are also included. Systems are based on AMD, Intel, NVIDIA, and Mellanox technologies."
"65","A. F. Amorello & Sons, Inc.","","Monique Krygowski","","115 Sw Cutoff","","Worcester","MA","01613-2729",""
"66","Dougherty Management Associates, Inc.","DMA Health Strategies","RICHARD  H DOUGHERTY","President","9 Meriam St Ste 4","","Lexington","MA","02420-5312","Dougherty Management Assoc., Inc. dba DMA Health Strategies provides health & human service organizations in the public & private sectors with management consulting services to improve healthcare delivery systems and manage complex organizational change."
"67","Test Evolution Corporation","","Mark Ford","","102 South St","","Hopkinton","MA","01748-2207",""
"68","WHALLEY PRECISION INC","","Christopher F Garvey","","28 HUDSON DR","","SOUTHWICK","MA","01077-9546",""
"69","Norfolk Corporation","ZRC Worldwide","Steven Collins","","145 Enterprise Dr","","Marshfield","MA","02050-2132",""
"70","PICKNELLY FAMILY LIMITED PARTNERSHIP","","PAUL PICKNELLY","","1414 MAIN ST","","SPRINGFIELD","MA","01144-7000",""
"71","Land-tek Maintenance, Inc.","","Kristen Anderson","","477 Winthrop St","","Rehoboth","MA","02769-1302","Provide paper goods and janitorial supplies and equipment"
"72","Sterling Machine Company, Inc.","","JOSEPH RUDEK","","23 Farrar St","","Lynn","MA","01901-1601",""
"73","AJA International, Inc.","","William M Provost","","809 Country Way","","Scituate","MA","02066-1700",""
"74","Emulate, Inc.","Emulate","Daniel Levner","","27 Drydock Ave Fl 5","","Boston","MA","02210-2382",""
"75","Griffin Greenhouse Supplies, Inc.","Griffin","Brain Sullivan","","1619 Main St","","Tewksbury","MA","01876-2047",""
"76","Cobalt Speech and Language, Inc. ","","Jeffrey P. Adams","","29 Scribner Rd ","","TYNGSBORO","MA","01879-2311",""
"77","Axis Technology, LLC","","Michael Logan","Managing Director","50 Milk St Fl 16","","Boston","MA","02109-5002","We specialize in Enterprise portals,Data Security software, data masking, risk and compliance assessments, data warehouses, data mining, analytics and IT consulting."
"78","First-Call Medical, Inc","","David Flanagan","","28 Andover St Ste 200","","Andover","MA","01810-4894","First-Call Medical is a telemedicine company and diagnostic testing facility that specializes in Mobile Cardiac Telemetry, Digital Holter Monitoring, Cardiac Event Monitoring and Ambulatory Blood Pressure Monitoring."
"79","Greenwood Manufacturing, Inc.","","Matthew A Brown","","640 Lincoln Street","","Worcester","MA","01605-2058",""
"80","Industrial Technical Services, Inc.","","COLIN  NEYLON","","251 Union Street","","Westfield","MA","01085-2423",""
"81","King-Fisher Co., Inc.","","YVETTE Sousa","","81 Old Ferry Rd","","Lowell","MA","01854-1907",""
"82","PROTONEX TECHNOLOGY CORPORATION","","David Long","","153 NORTHBORO RD STE 1","","SOUTHBOROUGH","MA","01772-1034",""
"83","Affordable Auto Glass Inc","","joseph j esile","","806 Elm St","","West Springfield","MA","01089-0000",""
"84","ATLANTIC SEMICONDUCTOR TRUST","","Dave Litchfield","","9 CENTENNIAL DR UNIT 104","","PEABODY","MA","01960-7940","We are a reseller of electronic components as a secondary source."
"85","MYRON J DICKERMAN INC","DICKERMAN DENTAL PROSTHETICS","Ira N Dickerman","","76 POND ST","","SHARON","MA","02067-2041",""
"86","Commerce Associates LLP","","Kathryn E Parvin","","340 Main St Ste 600","","Worcester","MA","01608-1612",""
"87","PPM Works, Inc.","","Jacques  Goupil","","30 Newbury St Ste 3","","Boston","MA","02116-3239",""
"88","Latham Biopharm Group, Inc.","LATHAM BIOPHARM GROUP","Michael S McGinnis","","101 Main St Suite 1400","","Cambridge","MA","02142-1527",""
"89","M & S Distribution, Inc.","","Lenny Snyderman","","572 Freeport St Unit A","","Boston","MA","02122-3246",""
"90","HIGHLAND MOTORS CORP","Plaistow Power Sports","Christine Gaudreault","","107 BRIMBAL AVE","","BEVERLY","MA","01915-1952",""
"91","SeraCare Life Sciences, Inc.","Seracare Life Sciences","Terry  Doherty","","37 Birch St","","Milford","MA","01757-5501",""
"92","MicroSearch Corporation","Re Search International","CHUCK  KELLY","Principal","101 Western Ave Suite 1","","GLOUCESTER","MA","01930-3649","We provide low-cost e-Document services, including scanning, pdf conversion, web-based document retrieval, CD-ROM document database publishing, and data migration. We utilize a very advanced, Google-like document search engine."
"93","Buono Pest Control Company, Inc.","","Marillian Missiti","","462 Trapelo Rd","","BELMONT","MA","02478-1421",""
"94","FTC Enterprise Inc ","","Patrick Climo","","170 W UNION ST ","","EAST BRIDGEWATER","MA","02333-1746",""
"95","OnCore Manufacturing LLC","NEO Tech","John Marcil","","125 Fisher St.","","Westborough","MA","01581-3332",""
"96","WORAD, INC.","","Mike Breed","","299 BROOKS ST","","WORCESTER","MA","01606-3316","Sells, services and installs two-way radio communications equipment."
"97","Boston Medical Products, Inc.","","JOHN DUQUETTE","","70 Chestnut St","","Shrewsbury","MA","01545-4101",""
"98","Wheelhouse Technologies, Inc.","","Craig Parkhourst","","282 Central St Unit 9","","Hudson","MA","01749-1395","WheelHouse Technologies provides innovative solutions to the marine industry that can improve the safety, reliability, and economics of a single vessel or fleet. Our comprehensive solution, WheelHouse, is used to manage all aspects of vessel maintenance, inspection and repair in a single vessel or across a fleet of vessels in one or multiple locations. Solutions are available for yachts and workboats from individual vessels to an unlimited fleet."
"99","LRF1 DC Logistics 3 LLC","","Maria Henderson","","116 Huntington Ave Ste 601","","Boston","MA","02116-5749",""
"100","B.E. Peterson, Inc.","","Daniel Szczurko","","40 Murphy Dr","","Avon","MA","02322-1147","BEP manufactures Pressure Vessels, Tanks, ASME pressure vessels, ASME tanks, ASME vacuum furnaces, pressure filter vessels, filter housings, vacuum chambers, skid assemblies, co-gen ducting and a variety of industrial general fabrications."
"101","Nashoba Security, Inc.","","MARC LEBLANC","","474 Great Rd","","Littleton","MA","01460-1290","Providing physical and electronic security system solutions for government, commercial and industrial sectors. Design, installation and service of Security Camera (CCTV) & Card Access Systems. GSA Certified safe and vault technicians. Door and hardware installation including acoustical (STC) and hollow metal."
"102","MBS Fabrication, Inc.","","Dennis Martinelli","","270 Ashland Ave","","Southbridge","MA","01550-3103","Manufacture sheet metal brackets, fabrications, weldments, assemblies. From 1 piece development to high quantity runs. Full in-house Engineering ability."
"103","ARTHROSURFACE INCORPORATED","","Frank Fedorowicz","","28 FORGE PKWY","","FRANKLIN","MA","02038-3134",""
"104","FX TRANSPARENCY, LLC","","John Galanek","","161 Worcester Rd Ste 604","","Framingham","MA","01701-5315",""
"105","UPP CINCINNATI 7TH, LLC ","LAZ Parking Realty Investors ","Matt Englander","","4 Copley Pl Ste 4105 ","","Boston","MA","02116-6504",""
"106","Tobin & Sons Moving & Storage, Inc.","","Peg Emery","","39 Tozer Rd","","Beverly","MA","01915-5513",""
"107","SOFTWARE SKILLS TRAINING INC ","SST ","Erica Sims","","1 VILLAGE SQ, ste-3 ","","CHELMSFORD","MA","01824-2744",""
"108","Glass Expansion, Inc.","","Ryan Brennan","","31 Jonathan Bourne Dr Unit 7","","Pocasset","MA","02559-4919",""
"109","KF PARENT II, LLC ","","Petra Peplau","","55 Cambridge St Ste 300 ","","Burlington","MA","01803-4612",""
"110","READY-ROOTER, INC.","","KEVIN  SULLIVAN","President","17 Jan Sebastain unit 16","","SANDWICH","MA","02563-2362","Plumbing installations and repairs, heating installations and repairs, septic inspections and maintenance"
"111","Abpro Corporation","Abpro","Natali Bozhko","","68 Cummings Park Dr","","Woburn","MA","01801-2124",""
"112","Boston Fusion Corp.","","Richard J Salvage","","70 Westview St Ste 100","","Lexington","MA","02421-3142","Boston Fusion conducts advanced research and development in the areas of information fusion, processing, analysis, and related services, for the government and private sector entities."
"113","KOMAN Government Solutions, LLC","KGS","Doug DeFazio","","293 Boston Post Rd W Ste 100","","Marlborough","MA","01752-4615","KOMAN Government Solutions, LLC (KGS) is a wholly-owned subsidiary of the Natives of Kodiak, Inc. (NOK), an Alaska Native Corporation. KGS is an SBA-certified 8(a) company providing environmental remediation, environmental consulting and engineering, ordnance and explosives assessments and removal actions, and construction services. KGS is characterized by our financial stability, positive and profitable growth and an excellent safety record. Our construction and environmental divisions enable us to address nearly all facets of client projects from start-up to closure. Having in-house expertise, coupled with broad capabilities, KGS ensures our clients a smooth transition from concept to reality."
"114","King-Gage Engineering Corporation","","HEATHER  L Fanelli","","119 UXBRIDGE RD","","MENDON","MA","01756-1223",""
"115","BOSTON BUILDING MAINTENANCE, LLC","","Brittany B Hampton","","127 MAIN ST","","CHARLESTOWN","MA","02129-3533","Boston Building Maintenance, LLC (BBM) provides cost effective cleaning services that encompass all of your building needs. We currently provide janitorial services for commercial office properties, laboratories, medical and childcare facilities. • Janitorial • Floor Maintenance • Carpet and Tile Cleaning • Wall Washing • Blind & Upholstery Cleaning • Day Porter • Event Support (Pre and Post Event Clean-up) • On-Call Custodial Staff • Emergency Response Clean-up (e.g. Floods) • Supply Conveyance • Window Washing • High Pressure Cleaning • Snow Removal • Light Maintenance"
"116","PERFORMANCE PLUS AUTO BODY","","Anthony Rousseau","","113 CONGRESS ST","","LOWELL","MA","01852-4010","Performance Plus Auto Body repairs and refinishes all types of vehicles."
"117","Action Apparel, Inc.","","JOHN LOSCO","","100a Maple St","","Stoneham","MA","02180-0000",""
"118","Mats, Inc.","","DOTTIE    PASQUALE","","179 CAMPANELLI PKWY","","STOUGHTON","MA","02072-3743",""
"119","Marine Towing & Charter Service, Inc.","","Michael  Goodridge","","39 Ferry Rd","","Salisbury","MA","01952-2609","Marine Services is a complete search and recovery salvage company. We provide all services needed for locating and recovering underwater losses."
"120","Prosensing, Inc.","","IVAN  POPSTEFANIJA","","107 Sunderland Rd","","Amherst","MA","01002-1098",""
"121","TEXTHELP INC.","","Rebecca A McCarron","","600 Unicorn Park Dr Fl 2","","Woburn","MA","01801-3343",""
"122","Stuart, Albert M","Albert M Stuart","Jason Stuart","","4 Fern Ave","","Amesbury","MA","01913-1102",""
"123","LIFT TRUCK PARTS & SERVICE, INC.","","Mario Sotolotto","","20 PARKSIDE AVE","","WEST SPRINGFIELD","MA","01089-3443",""
"124","PEAK SCIENTIFIC INC.","","Anna Stenberg","","19 STERLING RD STE 1","","BILLERICA","MA","01862-2524",""
"125","Pk Associates Inc","Briggs Engineering","SHEILA Kelleher","","100 Weymouth St Ste C-2","","Rockland","MA","02370-1145",""
"126","BSC Supply, LLC","","James D Fogarty","","200 Fifth Ave; Ste 3020","","WALTHAM","MA","02451-8758",""
"127","BERKSHIRE POWERTECH, INC. ","","Bill Yurko","","10 Valley St ","","Lee","MA","01238-0000",""
"128","Traveler's Supply, Inc.","","JAMES  P Dusza","CEO","115 York St","","West Springfield","MA","01089-5005","First Aid Supplies, Medical Kits, Pharmaceuticals, Insect Repellents"
"129","Brennan Machine Co.,inc.","","Robert Gauthier","","820 Monponsett St","","Hanson","MA","02341-2005",""
"130","Recap Advisors, LLC","Recap Real Estate Advisors","Shannon Lestan","","77 Franklin St. 7th Floor","","BOSTON","MA","02110-1510","The trusted experts at Recap Advisors develop and implement thoughtful, innovative solutions to complex affordable housing financial challenges that optimize economic and social outcomes."
"131","CPU Sales & Service, LLC","","DENNIS MAHER","","159 Overland Rd","","Waltham","MA","02451-1703",""
"132","Primo Medical Group, Inc.","","Christopher LaPlante","","75 Mill St","","Stoughton","MA","02072-1422",""
"133","Houghton Jr, Jack E Attorney At Law","Law Offices of Jack E. Houghton Jr.","Jack E Houghton","","78 Bartlett Ave","","Pittsfield","MA","01201-6313",""
"134","Gemini Industries Inc.","GEMINI","SALVATORE MALGARI","Vice President","200 Summit Drive Ste110","","Burlington","MA","01803-5276","Provide Information Mgt, Operations, Logistics, Facilities Mgt, Engineering/Technical, Acquisition, and Mgt Support Services. Reduce Customer Operating Costs through integration of Information Technology, streamlined procedures and mgt approaches."
"135","Solvus Global LLC","","Aaron M Birt","","104 Prescott St","","Worcester","MA","01605-0000",""
"136","SUNDRUM SOLAR","","Michael  Intrieri","","469 RIVER RD","","HUDSON","MA","01749-2665","SunDrum Solar Manufacturers and consults on implementing our hybrid solar solution capable of heading DHW, Pools, Space heating, Space cooling and providing chilled water."
"137","Eyepoint Pharmaceuticals US, Inc.","","Casey Eastman","","480 Pleasant St Ste B300","","WATERTOWN","MA","02472-2468",""
"138","Jet Machined Products","","Cheryl Kearney","","221 Highland St","","East Bridgewater","MA","02333-1409",""
"139","Persistence Plus, LLC","","Jill Frankfort","","43 SOLEY ST # 1","","CHARLESTOWN","MA","02129-3310",""
"140","Noreast Marine Systems, LLC","","Karen Cadieux","","1 Adams St","","Fairhaven","MA","02719-3834",""
"141","Minasian Becker LLC","","Jane E.  Minasian","","1378 Massachusetts Ave","","Arlington","MA","02476-4102",""
"142","Janis Research Company, LLC ","","Rachael Floyd","","225 Wildwood Ave ","","Woburn","MA","01801-2025",""
"143","A W GIFFORD INC","","DENICE  Outhuse","","11 LYMAN ST","","SPRINGFIELD","MA","01103-2300",""
"144","C. WHITE MARINE, INC.","","CATHERINE  WHITE","","160 SYLVAN ST STE 4","","DANVERS","MA","01923-3569",""
"145","PONDVIEW JP LIMITED PARTNERSHIP","PONDVIEW APARTMENTS","Maria  Oymaian","","564 CENTRE ST","","JAMAICA PLAIN","MA","02130-2067",""
"146","YANKEE ENVIRONMENTAL SYSTEMS, INC.","","Mark C Beaubien","","101 INDUSTRIAL BLVD","","TURNERS FALLS","MA","01376-1611","YES develops and manufactures scientific grade environmental sensing systems for measuring upper air, cloud cover, precipitation, temperature and humidity. We use SBIR funding to initially develop the sensing product, manufacture it, and market them through a worldwide network of in-country sales representatives. Our expertise is in RF, UV/visible/IR electroptical radiometry and imaging, and embedded systems."
"147","Adf Cleaning Services, Inc.","Fiumara, Agnes D","AGNES  FIUMARA","","12 Hathaway Rd","","Wilmington","MA","01887-1457",""
"148","TUNSTALL CORPORATION","","LAURA  Maspo","","118 EXCHANGE ST","","CHICOPEE","MA","01013-1243",""
"149","Farley White Gaslight LLC","","John  Power","","155 Federal St Ste 1800","","Boston","MA","02110-1737",""
"150","COTTER MACHINE CO., INC.","","SAM  COTTER","","7 LITTLE BROOK RD","","WEST WAREHAM","MA","02576-1221",""
"151","BYOMass Inc.","","Margaret Jackson","","161 Pantry Rd","","Sudbury","MA","01776-1136",""
"152","Batavia Biosciences Inc.","","Claire Otjes","","300 Tradecenter Ste 6650","","Woburn","MA","01801-7436","Batavia is an expert in Biologics process development. We have our proprietary STEP R Technology that improves the production of difficult to express proteins. Stable cell line generation. Upstream process development. Downstream process development. Biosimilar."
"153","Skylight Studios Inc ","","ROBERT  E SHURE","","105 Salem St ","","Woburn","MA","01801-3011","sculpture, commissions, moldmaking, restoration, enlargements, reductions, ornament, plaster casts, clay models, patterns."
"154","Polyfoam Corp.","","Donna Boissonneault","","2355 Providence Rd","","Northbridge","MA","01534-1085",""
"155","Collabware Corporation","","Graham Sibley","","485 Massachusetts Ave Ste 300","","Cambridge","MA","02139-4082","Collabware was founded in 2010 by Graham Sibley after overseeing countless large Enterprise Records Management projects. The company was born out of a need to create software that would allow teams to effectively collaborate in a simple, stress-free way that is actually a joy to use (no, really). By championing user-friendly software, our goal is to achieve work-life integration and balance so both our customers and us can spend more time on activities that we love."
"156","CADEL CHEMICAL & SUPPLY CO INC","","Jeffrey Richard","","245 ELM ST","","LEOMINSTER","MA","01453-3964","Cooling and heating water treatment for boilers, cooling water loops."
"157","ATKINSON CARPET INSTALLATION COMPANY INC","","Andrea  Hood","","11 ROGERS RD","","HAVERHILL","MA","01835-8506",""
"158","Fall River Sales & Supply, Inc.","Highland Restaurant Supply","Wayne Shaker","","829-835 Robeson St","","Fall River","MA","02720-5503",""
"159","Highland Labs, Inc. ","","Peter Lewis","GEN MGR","163 Woodland St ","","Holliston","MA","01746-1821","Can design & build special runs of dispensing products."
"160","Brainshark, Inc.","","Eric Lyeth","","130 Turner St","","Waltham","MA","02453-8901",""
